int_id,date,Number_of_Hard_Brakes,Total_CO2,Number_of_Stops,Number_of_Vehicles,Average_Number_of_Hard_Brakes,Average_CO2,Average_Number_of_Stops,Total_length,Latitude,Longitude
77,2021-01-11,4,479005.1679,12,4133,0.001148266,137.5063888,0.003444799,0.842853155,29.43102751,-98.64822507
78,2021-01-11,2,437969.4391,7,2606,0.000827082,181.118336,0.002894787,0.927912395,29.42697511,-98.64958267
79,2021-01-11,2,566425.0269,11,3261,0.000641928,181.8021552,0.003530606,0.955416215,29.42778518,-98.64929787
81,2021-01-11,12,436063.8406,15,3930,0.00501113,182.0977174,0.006263913,0.609330649,29.4464634,-98.63538289
82,2021-01-11,5,781156.4258,8,4169,0.001363437,213.0115138,0.002181499,0.879636083,29.44698527,-98.63516789
83,2021-01-11,41,871095.8752,15,4411,0.011010707,233.9361328,0.004028307,0.844173264,29.45085002,-98.63195326
84,2021-01-11,11,550159.2063,39,4015,0.004496288,224.8794715,0.015941384,0.609330649,29.44951528,-98.63287311
85,2021-01-11,34,688704.4429,17,4472,0.010975007,222.3098886,0.005487504,0.692743259,29.45470861,-98.62880637
87,2021-01-11,16,712440.2331,705,4503,0.007078786,315.2007459,0.311909007,0.501948607,29.4637706,-98.62105037
88,2021-01-11,6,1041864.032,70,4371,0.001501803,260.7790721,0.017521034,0.914023797,29.47776508,-98.60795899
91,2021-01-11,1,92677.84409,2,982,0.001637797,151.7874949,0.003275594,0.621768106,29.32027138,-98.52001715
92,2021-01-11,8,43106.64075,2,1088,0.013136635,70.78452445,0.003284159,0.559727914,29.32008331,-98.51508781
93,2021-01-11,3,91111.63771,4,1247,0.003061019,92.96480999,0.004081358,0.785938952,29.31997159,-98.55882796
94,2021-01-11,3,214300.0181,2,1250,0.003146339,224.7535149,0.002097559,0.76279125,29.32095273,-98.49754677
95,2021-01-11,8,224428.215,13,1727,0.009357769,262.5184321,0.015206375,0.49502293,29.34234414,-98.62551566
96,2021-01-11,12,290364.8897,3,1784,0.011533711,279.0820655,0.002883428,0.583199741,29.3570596,-98.63118672
97,2021-01-11,10,420138.7775,18,2020,0.006516576,273.7866266,0.011729837,0.759677331,29.36443916,-98.63437108
98,2021-01-11,15,306069.6679,6,1973,0.013692651,279.3936856,0.005477061,0.555234726,29.36415418,-98.63403018
99,2021-01-11,6,611566.1423,10,2492,0.002514936,256.3416461,0.00419156,0.957362092,29.37728364,-98.63968798
