deviceId,journeyId,date,time,lat,lon,postal_code,speed,heading,odometer,event_type,event,epoch_time
1c5c773b-d2ae-4755-a62d-7548e3d7f64b-37-1,98828023ede6c2c51a4bcfb2e1aa7edff2cf876a,11/1/2021,5:08:51,29.708298,-98.517913,78260,48.32,322.7,19674,ACCELERATION_CHANGE,HARD_BRAKE,1635743331
1c5c773b-d2ae-4755-a62d-7548e3d7f64b-40-1,98828023ede6c2c51a4bcfb2e1aa7edff2cf876a,11/1/2021,5:08:54,29.708557,-98.51815,78260,31.68,322,19674,ACCELERATION_CHANGE,HARD_BRAKE,1635743334
f71d3d4d-f246-470f-8d8b-f29f4ec9c70c-51-1,98828023ede6c2c51a4bcfb2e1aa7edff2cf876a,11/1/2021,5:14:05,29.636269,-98.519559,78257,75.84,173.2,19682,ACCELERATION_CHANGE,HARD_BRAKE,1635743645
430c46b1-6c0c-4b2b-b1a5-6c3309de0907-8-1,98828023ede6c2c51a4bcfb2e1aa7edff2cf876a,11/1/2021,5:31:22,29.467837,-98.460747,78209,30.72,9.1,19708,ACCELERATION_CHANGE,HARD_BRAKE,1635744682
c9eb3fa8-d107-40a6-a8b1-31caf788b139-53-1,98828023ede6c2c51a4bcfb2e1aa7edff2cf876a,11/1/2021,5:34:06,29.470069,-98.440154,78209,36.48,66.2,19710,ACCELERATION_CHANGE,HARD_BRAKE,1635744846
c877816b-1272-4b34-8d63-7a1c8a7734ba-7-1,98828023ede6c2c51a4bcfb2e1aa7edff2cf876a,11/1/2021,5:34:20,29.469203,-98.439021,78209,31.04,112.1,19710,ACCELERATION_CHANGE,HARD_BRAKE,1635744860
c877816b-1272-4b34-8d63-7a1c8a7734ba-8-1,98828023ede6c2c51a4bcfb2e1aa7edff2cf876a,11/1/2021,5:34:21,29.469161,-98.438942,78209,21.12,122.9,19710,ACCELERATION_CHANGE,HARD_BRAKE,1635744861
c877816b-1272-4b34-8d63-7a1c8a7734ba-9-1,98828023ede6c2c51a4bcfb2e1aa7edff2cf876a,11/1/2021,5:34:22,29.469129,-98.438893,78209,10.88,133.9,19710,ACCELERATION_CHANGE,HARD_BRAKE,1635744862
8edb6f66-dfb7-40ec-9606-1b88f295ee56-31-1,98828023ede6c2c51a4bcfb2e1aa7edff2cf876a,11/1/2021,5:35:44,29.462436,-98.44829,78234,16.32,253.7,19711,ACCELERATION_CHANGE,HARD_BRAKE,1635744944
ec34fa93-b770-436e-b6a0-369accb9f4e7-16-1,98828023ede6c2c51a4bcfb2e1aa7edff2cf876a,11/1/2021,5:36:29,29.461499,-98.448338,78234,10.24,39.2,19711,ACCELERATION_CHANGE,HARD_BRAKE,1635744989
8caffd0c-e2e8-42cb-b369-901718aa8aa5-31-1,980b4010d1fd05d37bba0e3a8823f19fb2283350,11/1/2021,5:57:23,29.578643,-98.513945,78216,44.48,337,25327,ACCELERATION_CHANGE,HARD_BRAKE,1635746243
8caffd0c-e2e8-42cb-b369-901718aa8aa5-32-1,980b4010d1fd05d37bba0e3a8823f19fb2283350,11/1/2021,5:57:24,29.578742,-98.513994,78216,36.16,336.4,25327,ACCELERATION_CHANGE,HARD_BRAKE,1635746244
6b96df00-0e45-48b5-a4de-fd4cac111bda-57-1,97e294ed1df30f62cde59b33ecd315b0b702646e,11/1/2021,5:49:18,29.474518,-98.699021,78251,34.56,60.4,48902,ACCELERATION_CHANGE,HARD_BRAKE,1635745758
6b96df00-0e45-48b5-a4de-fd4cac111bda-58-1,97e294ed1df30f62cde59b33ecd315b0b702646e,11/1/2021,5:49:19,29.474566,-98.698927,78251,27.52,60.4,48902,ACCELERATION_CHANGE,HARD_BRAKE,1635745759
439a1b61-a690-4c91-80d1-a75663009fa1-39-1,97770896b79715e146586e5be7ed8bca98be8996,11/1/2021,5:08:42,29.495461,-98.618933,78238,27.84,131.8,22975,ACCELERATION_CHANGE,HARD_BRAKE,1635743322
29145c49-1760-42dc-aa50-a146e005afe6-39-1,96fc22aac7660ccf01f668a8a6bdbe78343561df,11/1/2021,5:55:07,29.384013,-98.69129,78252,54.08,73.2,35404,ACCELERATION_CHANGE,HARD_BRAKE,1635746107
29145c49-1760-42dc-aa50-a146e005afe6-40-1,96fc22aac7660ccf01f668a8a6bdbe78343561df,11/1/2021,5:55:08,29.384051,-98.691152,78252,39.04,72.8,35404,ACCELERATION_CHANGE,HARD_BRAKE,1635746108
29145c49-1760-42dc-aa50-a146e005afe6-55-1,96fc22aac7660ccf01f668a8a6bdbe78343561df,11/1/2021,5:55:23,29.384574,-98.688969,78252,53.44,75.1,35404,ACCELERATION_CHANGE,HARD_BRAKE,1635746123
29145c49-1760-42dc-aa50-a146e005afe6-57-1,96fc22aac7660ccf01f668a8a6bdbe78343561df,11/1/2021,5:55:25,29.384634,-98.688707,78252,31.68,75.7,35404,ACCELERATION_CHANGE,HARD_BRAKE,1635746125
4daeecae-a669-4a3c-bedc-0a933b9876fa-58-1,96d4093e46314549f4d4c4938798946d38d384bc,11/1/2021,5:43:51,29.356771,-98.523372,78221,45.44,273.4,13014,ACCELERATION_CHANGE,HARD_BRAKE,1635745431
1cda620a-176e-460d-9eeb-36487dc78d7d-0-1,96d4093e46314549f4d4c4938798946d38d384bc,11/1/2021,5:43:53,29.356786,-98.523592,78221,27.2,277.4,13014,ACCELERATION_CHANGE,HARD_BRAKE,1635745433
1cda620a-176e-460d-9eeb-36487dc78d7d-1-1,96d4093e46314549f4d4c4938798946d38d384bc,11/1/2021,5:43:54,29.356793,-98.52366,78221,15.04,278.1,13014,ACCELERATION_CHANGE,HARD_BRAKE,1635745434
40884aa8-d151-4b3c-8a7c-a06fad7252a2-42-1,96bea111c6f03262d2f1e2f669f5982e53de4670,11/1/2021,5:25:41,29.520244,-98.535049,78230,10.88,231.1,39045,ACCELERATION_CHANGE,HARD_BRAKE,1635744341
